Population By Year|Under 18|18-54|55 and Over|
2000|72376189|150287588|59498634|
2001|72671175|151902194|60395586|
2002|72936457|152463197|62225539|
2003|73100758|153134701|63872474|
2004|73297735|153998940|65508623|
2005|73523669|154701635|67291295|
2006|73757714|155527978|69094220|
2007|74019405|156257657|70954145|
2008|74104602|157054680|72934684|
2009|74134167|157608587|75028775|
