ranking,lon,lat,company,industry,state,city
175,-83.3527,42.3684,TRW Automotive Holdings,Motor Vehicles and Parts,MI,Livonia
176,-79.9959,40.4406,United States Steel,Metals,PA,Pittsburgh
177,-83.2455,42.5836,Penske Automotive Group,Automotive Retailing  Services,MI,Bloomfield Hills
178,-77.1068,38.88,AES,Utilities: Gas and Electric,VA,Arlington
179,-74.0059,40.7128,Colgate-Palmolive,Household and Personal Products,NY,New York
180,-71.2356,42.3765,Global Partners,Wholesalers: Diversified,MA,Waltham
181,-71.2356,42.3765,Thermo Fisher Scientific,Scientific Photographic and Control Equipment,MA,Waltham
182,-122.419,37.7749,PG&E Corp.,Utilities: Gas and Electric,CA,San Francisco
183,-80.0534,26.8798,NextEra Energy,Utilities: Gas and Electric,FL,Juno Beach
184,-82.9988,39.9612,American Electric Power,Utilities: Gas and Electric,OH,Columbus
185,-87.8445,42.1711,Baxter International,Medical Products and Equipment,IL,Deerfield
186,-90.1994,38.627,Centene,Health Care: Insurance and Managed Care,MO,St. Louis
187,-122.332,47.6062,Starbucks,Food Services,WA,Seattle
188,-122.419,37.7749,Gap,Specialty Retailers: Apparel,CA,San Francisco
189,-74.0059,40.7128,Bank of New York Mellon Corp.,Commercial Banks,NY,New York
190,-116.215,43.6187,Micron Technology,Semiconductors and Other Electronic Components,ID,Boise
191,-82.64,27.7731,Jabil Circuit,Semiconductors and Other Electronic Components,FL,St. Petersburg
192,-79.9959,40.4406,PNC Financial Services Group,Commercial Banks,PA,Pittsburgh
193,-95.3698,29.7604,Kinder Morgan,Pipelines,TX,Houston
194,-80.1289,26.3683,Office Depot,Specialty Retailers: Other,FL,Boca Raton
195,-74.0059,40.7128,Bristol-Myers Squibb,Pharmaceuticals,NY,New York
196,-74.6672,40.3573,NRG Energy,Energy,NJ,Princeton
197,-90.1994,38.627,Monsanto,Chemicals,MO,St. Louis
198,-79.9959,40.4406,PPG Industries,Chemicals,PA,Pittsburgh
199,-84.388,33.749,Genuine Parts,Wholesalers: Diversified,GA,Atlanta
